Restaurant_ID,Name,Cuisine_Type,Location,Rating
1,Thomas Inc,Chinese,West Carlos,4.28
2,Singh-Lopez,Mexican,Port Tannerland,4.12
3,Pruitt-Hoover,Italian,Gailtown,2.71
4,Sanders Group,Chinese,Dennistown,3.67
5,"Willis, Pittman and Ryan",Chinese,New Karenbury,4.95
6,Olson-Maldonado,Chinese,North Ashley,1.7
7,Chambers and Sons,Mexican,Wendymouth,3.08
8,Elliott LLC,Indian,West Andremouth,4.82
9,Brown Group,Indian,South Brandon,2.47
10,Ball Group,Japanese,New Yvettefort,2.61
11,Patterson-Jimenez,Mexican,Grantfurt,4.0
12,Bernard-Mason,Japanese,North Tylerside,4.44
13,"Jenkins, Taylor and Thompson",Italian,Brandonhaven,1.05
14,"Daniel, Adams and Whitehead",Italian,North Ashley,3.55
15,Smith-Downs,Italian,New Tylerburgh,3.58
16,"Owen, Kim and Tucker",Italian,East Karen,4.24
17,"Leonard, Brown and Archer",Chinese,West Ariel,4.9
18,Riley Inc,Mexican,Millerbury,1.45
19,Stokes Inc,Indian,Waltersfurt,4.2
20,Fisher Group,Japanese,New Brandi,4.62
21,"Davis, Hill and Aguilar",Mexican,Port Katherine,1.79
22,Harris Ltd,Italian,West Melissa,4.16
23,Kennedy LLC,Mexican,Stephanieton,2.45
24,Miller Group,Japanese,Angelaton,4.52
25,Bryant and Sons,Indian,North Ericton,3.28
26,"Jackson, Adams and Hopkins",Chinese,Harrisfurt,1.74
27,"Jordan, Jones and Mitchell",Mexican,East Jonathan,4.84
28,Johnson Ltd,Chinese,Georgeport,2.15
29,Little and Sons,Japanese,Michaelside,1.91
30,"Barrett, Brown and Montoya",Chinese,New Maryside,2.13
31,Wilson LLC,Japanese,Abigailfort,2.8
32,"Mahoney, Li and Lawrence",Chinese,New Karenchester,2.47
33,Morgan Group,Italian,Katieville,1.57
34,"Evans, Calhoun and Washington",Mexican,Lake Nicholas,3.58
35,Fritz-Dominguez,Mexican,Port Roger,3.74
36,"Anderson, Burgess and Franklin",Japanese,Lake Samantha,3.48
37,"Obrien, Ferguson and Sellers",Chinese,Thomasland,4.77
38,Brown-Martinez,Japanese,North Christineshire,1.84
39,Parker-Perry,Japanese,East Carolfort,1.46
40,Cox LLC,Italian,South Joshua,2.05
41,"Moran, Anderson and Li",Mexican,Rodriguezland,4.63
42,Hughes-Jones,Italian,South Megan,3.89
43,Harris PLC,Indian,Davidsonhaven,1.55
44,Barnes PLC,Indian,Cruzton,2.02
45,"Ritter, Peterson and Hanson",Chinese,Lake Gabriella,1.98
46,Jackson-Hawkins,Indian,Ronaldchester,4.34
47,Long Inc,Indian,Schaeferburgh,4.44
48,"Brooks, Garrett and Baldwin",Japanese,West Caitlin,3.58
49,"Marshall, Cook and Sharp",Mexican,South Elizabethborough,3.76
50,"Sullivan, Jones and Knox",Japanese,Vanessamouth,2.92
51,Ayers-Lewis,Chinese,Port Tammyland,3.57
